"filename", "language", "JSON", "TypeScript", "HTML", "JavaScript", "JSON with Comments", "Batch", "XML", "Rust", "TOML", "Markdown", "TypeScript JSX", "YAML", "CSS", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\commands\main_app.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 11, 29, 295
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\dev.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 34, 13, 99
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\constants.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 12, 26
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\gateway_packets.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 108, 40, 440
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\http_packets.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\idk.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 2, 5, 59
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\remote_auth_packets.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 27, 9, 62
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\attachment.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\channel.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 1, 28, 182
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\embed.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\emoji.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\gateway.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 436, 0, 0, 0, 0, 0, 0, 12, 66, 514
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\guild.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 5, 27, 198
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\interaction.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\member.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\message.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 3, 23, 158
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\protos.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 9, 3, 20
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\reaction.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\relationship.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\role.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\sticker.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\thread.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\user.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 22, 12, 172
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\types\voice.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\user.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 18, 95
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\discord\voice_gateway_packets.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 46, 23, 192
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\event_manager.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 8, 56
